locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,source
BENWERRIN,BENWERRIN,100356,805745205,205408650,Victoria Locality Boundary layer (MapServer/2)
BEREMBOKE,BEREMBOKE,100357,802469096,205409112,Victoria Locality Boundary layer (MapServer/2)
BERRIMAL,BERRIMAL,100358,847360186,205408370,Victoria Locality Boundary layer (MapServer/2)
BERRINGA,BERRINGA,100359,792936262,205408999,Victoria Locality Boundary layer (MapServer/2)
BERRINGAMA,BERRINGAMA,100360,468965091,205408189,Victoria Locality Boundary layer (MapServer/2)
BERRIWILLOCK,BERRIWILLOCK,100361,468964872,205407594,Victoria Locality Boundary layer (MapServer/2)
BERRYBANK,BERRYBANK,100362,810305640,205408038,Victoria Locality Boundary layer (MapServer/2)
BERRYS CREEK,BERRYS CREEK,100364,812374051,205409166,Victoria Locality Boundary layer (MapServer/2)
BERWICK,BERWICK,100365,817376498,205409098,Victoria Locality Boundary layer (MapServer/2)
BESSIEBELLE,BESSIEBELLE,100367,798567217,205407641,Victoria Locality Boundary layer (MapServer/2)
BET BET,BET BET,100368,843399943,205409376,Victoria Locality Boundary layer (MapServer/2)
BETE BOLONG,BETE BOLONG,100369,480508437,205407831,Victoria Locality Boundary layer (MapServer/2)
BETE BOLONG NORTH,BETE BOLONG NORTH,100370,468966283,205408392,Victoria Locality Boundary layer (MapServer/2)
BETHANGA,BETHANGA,100371,849561984,205407999,Victoria Locality Boundary layer (MapServer/2)
BETLEY,BETLEY,100372,843399944,205409855,Victoria Locality Boundary layer (MapServer/2)
BEULAH,BEULAH,100373,468964913,205407420,Victoria Locality Boundary layer (MapServer/2)
BEVERFORD,BEVERFORD,100374,831486691,205409231,Victoria Locality Boundary layer (MapServer/2)
BEVERIDGE,BEVERIDGE,100375,857824971,205407968,Victoria Locality Boundary layer (MapServer/2)
BIG DESERT,BIG DESERT,100379,826549810,205407404,Victoria Locality Boundary layer (MapServer/2)
BIG HILL (BENDIGO),BIG HILL,100380,824742303,205409817,Victoria Locality Boundary layer (MapServer/2)
BIG HILL (LORNE),BIG HILL,100381,796758841,205409953,Victoria Locality Boundary layer (MapServer/2)
BIG PATS CREEK,BIG PATS CREEK,100382,820278103,205409811,Victoria Locality Boundary layer (MapServer/2)
BIGGARA,BIGGARA,100383,468965172,205407703,Victoria Locality Boundary layer (MapServer/2)
BILLABONG,BILLABONG,100384,468965910,205407666,Victoria Locality Boundary layer (MapServer/2)
BIMBOURIE,BIMBOURIE,100385,468964826,205408779,Victoria Locality Boundary layer (MapServer/2)
BINDI,BINDI,100386,468965791,205407765,Victoria Locality Boundary layer (MapServer/2)
BINGINWARRI,BINGINWARRI,100388,832994365,205408567,Victoria Locality Boundary layer (MapServer/2)
BINGO MUNJIE,BINGO MUNJIE,100389,468965759,205409726,Victoria Locality Boundary layer (MapServer/2)
BIRCHIP,BIRCHIP,100390,468964958,205407945,Victoria Locality Boundary layer (MapServer/2)
BIRCHIP WEST,BIRCHIP WEST,100391,468964975,205408531,Victoria Locality Boundary layer (MapServer/2)
BIRDWOODTON,BIRDWOODTON,100392,826549772,205409769,Victoria Locality Boundary layer (MapServer/2)
BIRREGURRA,BIRREGURRA,100393,805745178,205407880,Victoria Locality Boundary layer (MapServer/2)
BITTERN,BITTERN,100395,776340600,205409616,Victoria Locality Boundary layer (MapServer/2)
BLACK HILL,BLACK HILL,100396,829328750,205410313,Victoria Locality Boundary layer (MapServer/2)
BLACK RANGE (STAWELL),BLACK RANGE,100397,840422620,205408319,Victoria Locality Boundary layer (MapServer/2)
BLACK ROCK,BLACK ROCK,100399,703192597,205410208,Victoria Locality Boundary layer (MapServer/2)
BLACKBURN,BLACKBURN,100400,746966700,205410036,Victoria Locality Boundary layer (MapServer/2)
BLACKBURN NORTH,BLACKBURN NORTH,100401,746966696,205410246,Victoria Locality Boundary layer (MapServer/2)
BLACKBURN SOUTH,BLACKBURN SOUTH,100402,875096155,205410178,Victoria Locality Boundary layer (MapServer/2)
BLACKHEATH,BLACKHEATH,100403,468965328,205408751,Victoria Locality Boundary layer (MapServer/2)
BLACKWARRY,BLACKWARRY,100404,800701853,205408976,Victoria Locality Boundary layer (MapServer/2)
BLACKWOOD,BLACKWOOD,100405,831486755,205408446,Victoria Locality Boundary layer (MapServer/2)
BLAIRGOWRIE,BLAIRGOWRIE,100406,776340608,205410020,Victoria Locality Boundary layer (MapServer/2)
BLAKEVILLE,BLAKEVILLE,100407,802469032,205408393,Victoria Locality Boundary layer (MapServer/2)
BLAMPIED,BLAMPIED,100408,831486722,205408825,Victoria Locality Boundary layer (MapServer/2)
BLIND BIGHT,BLIND BIGHT,100409,855901383,205410027,Victoria Locality Boundary layer (MapServer/2)
BLOWHARD,BLOWHARD,100410,829328720,205409330,Victoria Locality Boundary layer (MapServer/2)
