locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,has_public_parking_data,parking_entity_count,source_owner_count,source_dataset_count,source_owners,source_datasets
BENA,BENA,100343,812374053,205409170,False,0,0,0,,
BENALLA,BENALLA,100344,849561993,205407501,False,0,0,0,,
BENAMBRA,BENAMBRA,100345,468965563,205407418,False,0,0,0,,
BENAYEO,BENAYEO,100346,468965615,205407814,False,0,0,0,,
BEND OF ISLANDS,BEND OF ISLANDS,100347,698493597,205410016,False,0,0,0,,
BENDIGO,BENDIGO,100348,824742281,205410053,False,0,0,0,,
BENDOC,BENDOC,100349,574189494,205407433,False,0,0,0,,
BENGWORDEN,BENGWORDEN,100350,836975058,205408049,False,0,0,0,,
BENJEROOP,BENJEROOP,100351,509407419,205408717,False,0,0,0,,
BENLOCH,BENLOCH,100352,814063491,205409299,False,0,0,0,,
BENNISON,BENNISON,100353,812374109,205410185,False,0,0,0,,
BENTLEIGH,BENTLEIGH,100354,739400822,205410100,False,0,0,0,,
BENTLEIGH EAST,BENTLEIGH EAST,100355,756167902,205409899,False,0,0,0,,
BENWERRIN,BENWERRIN,100356,805745205,205408650,False,0,0,0,,
BEREMBOKE,BEREMBOKE,100357,802469096,205409112,False,0,0,0,,
BERRIMAL,BERRIMAL,100358,847360186,205408370,False,0,0,0,,
BERRINGA,BERRINGA,100359,792936262,205408999,False,0,0,0,,
BERRINGAMA,BERRINGAMA,100360,468965091,205408189,False,0,0,0,,
BERRIWILLOCK,BERRIWILLOCK,100361,468964872,205407594,False,0,0,0,,
BERRYBANK,BERRYBANK,100362,810305640,205408038,False,0,0,0,,
BERRYS CREEK,BERRYS CREEK,100364,812374051,205409166,False,0,0,0,,
BERWICK,BERWICK,100365,817376498,205409098,True,827,1,1,City of Casey,City of Casey Parking Restriction Zones
BESSIEBELLE,BESSIEBELLE,100367,798567217,205407641,False,0,0,0,,
BET BET,BET BET,100368,843399943,205409376,False,0,0,0,,
BETE BOLONG,BETE BOLONG,100369,480508437,205407831,False,0,0,0,,
BETE BOLONG NORTH,BETE BOLONG NORTH,100370,468966283,205408392,False,0,0,0,,
BETHANGA,BETHANGA,100371,849561984,205407999,False,0,0,0,,
BETLEY,BETLEY,100372,843399944,205409855,False,0,0,0,,
BEULAH,BEULAH,100373,468964913,205407420,False,0,0,0,,
BEVERFORD,BEVERFORD,100374,831486691,205409231,False,0,0,0,,
BEVERIDGE,BEVERIDGE,100375,857824971,205407968,False,0,0,0,,
BIG DESERT,BIG DESERT,100379,826549810,205407404,False,0,0,0,,
BIG HILL (BENDIGO),BIG HILL,100380,824742303,205409817,False,0,0,0,,
BIG HILL (LORNE),BIG HILL,100381,796758841,205409953,False,0,0,0,,
BIG PATS CREEK,BIG PATS CREEK,100382,820278103,205409811,False,0,0,0,,
BIGGARA,BIGGARA,100383,468965172,205407703,False,0,0,0,,
BILLABONG,BILLABONG,100384,468965910,205407666,False,0,0,0,,
BIMBOURIE,BIMBOURIE,100385,468964826,205408779,False,0,0,0,,
BINDI,BINDI,100386,468965791,205407765,False,0,0,0,,
BINGINWARRI,BINGINWARRI,100388,832994365,205408567,False,0,0,0,,
BINGO MUNJIE,BINGO MUNJIE,100389,468965759,205409726,False,0,0,0,,
BIRCHIP,BIRCHIP,100390,468964958,205407945,False,0,0,0,,
BIRCHIP WEST,BIRCHIP WEST,100391,468964975,205408531,False,0,0,0,,
BIRDWOODTON,BIRDWOODTON,100392,826549772,205409769,False,0,0,0,,
BIRREGURRA,BIRREGURRA,100393,805745178,205407880,False,0,0,0,,
BITTERN,BITTERN,100395,776340600,205409616,False,0,0,0,,
BLACK HILL,BLACK HILL,100396,829328750,205410313,False,0,0,0,,
BLACK RANGE (STAWELL),BLACK RANGE,100397,840422620,205408319,False,0,0,0,,
BLACK ROCK,BLACK ROCK,100399,703192597,205410208,False,0,0,0,,
BLACKBURN,BLACKBURN,100400,746966700,205410036,False,0,0,0,,
BLACKBURN NORTH,BLACKBURN NORTH,100401,746966696,205410246,False,0,0,0,,
BLACKBURN SOUTH,BLACKBURN SOUTH,100402,875096155,205410178,False,0,0,0,,
BLACKHEATH,BLACKHEATH,100403,468965328,205408751,False,0,0,0,,
BLACKWARRY,BLACKWARRY,100404,800701853,205408976,False,0,0,0,,
BLACKWOOD,BLACKWOOD,100405,831486755,205408446,False,0,0,0,,
BLAIRGOWRIE,BLAIRGOWRIE,100406,776340608,205410020,False,0,0,0,,
BLAKEVILLE,BLAKEVILLE,100407,802469032,205408393,False,0,0,0,,
BLAMPIED,BLAMPIED,100408,831486722,205408825,False,0,0,0,,
BLIND BIGHT,BLIND BIGHT,100409,855901383,205410027,True,5,1,1,City of Casey,City of Casey Parking Restriction Zones
BLOWHARD,BLOWHARD,100410,829328720,205409330,False,0,0,0,,
BO PEEP,BO PEEP,100411,829328737,205409564,False,0,0,0,,
BOBINAWARRAH,BOBINAWARRAH,100413,468965357,205408321,False,0,0,0,,
